epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31088,1.71039,1.65321,1.62603,0.75521,0.69435,0.75669,0.5766,0.97513,0.77035,1.0312,1.785e-05,1.785e-05,1.785e-05
2,14.1943,1.50101,1.29379,1.44618,0.77929,0.68318,0.76027,0.55,1.13831,0.81584,1.0737,3.67683e-05,3.67683e-05,3.67683e-05
3,18.597,1.40733,1.26444,1.39431,0.75482,0.70058,0.76388,0.48444,1.42784,0.91581,1.16611,5.55609e-05,5.55609e-05,5.55609e-05
4,22.605,1.40811,1.20203,1.33203,0.7533,0.71549,0.77565,0.46419,1.54982,0.97391,1.22059,7.42278e-05,7.42278e-05,7.42278e-05
5,26.616,1.36872,1.15919,1.34529,0.78678,0.72887,0.78312,0.48393,1.48493,0.94395,1.20532,9.27691e-05,9.27691e-05,9.27691e-05
6,30.443,1.37504,1.16239,1.3222,0.81423,0.72291,0.7961,0.51161,1.4215,0.88932,1.18493,0.000111185,0.000111185,0.000111185
7,34.7334,1.31265,1.05347,1.30713,0.81305,0.72635,0.81097,0.52252,1.41557,0.86366,1.1882,0.000116644,0.000116644,0.000116644
8,38.76,1.31686,1.06053,1.31432,0.78392,0.76265,0.82494,0.53336,1.38742,0.83377,1.17926,0.000116251,0.000116251,0.000116251
9,42.7834,1.36719,1.11433,1.34167,0.82145,0.75655,0.83448,0.53439,1.38507,0.81689,1.17327,0.000115858,0.000115858,0.000115858
10,46.7512,1.28774,0.99037,1.29332,0.86064,0.75504,0.84233,0.54486,1.37301,0.79933,1.16455,0.000115466,0.000115466,0.000115466
11,50.6962,1.23949,0.94331,1.26733,0.85747,0.77231,0.85316,0.55648,1.37421,0.78235,1.1615,0.000115073,0.000115073,0.000115073
12,54.5612,1.30353,0.95621,1.25938,0.80969,0.80439,0.85049,0.54626,1.41989,0.7779,1.17801,0.00011468,0.00011468,0.00011468
13,58.476,1.25103,0.89959,1.21054,0.83356,0.79651,0.85735,0.54984,1.41133,0.76893,1.17334,0.000114288,0.000114288,0.000114288
14,62.3425,1.22237,0.93341,1.24116,0.83098,0.80347,0.86095,0.5596,1.36971,0.74556,1.15807,0.000113895,0.000113895,0.000113895
15,66.3248,1.2449,0.90442,1.23269,0.83993,0.79206,0.86297,0.5675,1.33847,0.72277,1.13696,0.000113502,0.000113502,0.000113502
16,70.2351,1.25389,0.87748,1.23384,0.86964,0.78642,0.86753,0.57161,1.3418,0.70931,1.14118,0.00011311,0.00011311,0.00011311
17,74.1108,1.24395,0.88492,1.20883,0.87019,0.79351,0.87203,0.56388,1.36333,0.70947,1.15085,0.000112717,0.000112717,0.000112717
18,78.1588,1.2193,0.87695,1.20419,0.86024,0.80216,0.86358,0.57127,1.34093,0.69999,1.14846,0.000112324,0.000112324,0.000112324
19,82.0047,1.21491,0.84959,1.20277,0.89415,0.78894,0.87358,0.59579,1.26642,0.68182,1.11914,0.000111931,0.000111931,0.000111931
20,85.8828,1.20298,0.85382,1.21344,0.85356,0.81655,0.87333,0.60187,1.2405,0.66942,1.10259,0.000111539,0.000111539,0.000111539
21,89.7963,1.24576,0.8731,1.23913,0.88839,0.81197,0.88806,0.60327,1.2593,0.66509,1.10468,0.000111146,0.000111146,0.000111146
22,93.7024,1.16699,0.81824,1.19048,0.86451,0.82383,0.88587,0.59516,1.27914,0.67106,1.10712,0.000110753,0.000110753,0.000110753
23,97.5495,1.22508,0.87424,1.23466,0.88675,0.82312,0.89088,0.59303,1.30249,0.67652,1.10845,0.000110361,0.000110361,0.000110361
24,101.396,1.16688,0.79573,1.18855,0.87847,0.83028,0.89377,0.59369,1.29607,0.66455,1.10531,0.000109968,0.000109968,0.000109968
25,105.305,1.19443,0.80768,1.20907,0.88447,0.83275,0.88883,0.60919,1.23885,0.63399,1.08388,0.000109575,0.000109575,0.000109575
26,109.253,1.17578,0.80872,1.20628,0.89227,0.82075,0.88791,0.61866,1.20374,0.61372,1.06959,0.000109183,0.000109183,0.000109183
27,113.138,1.17201,0.7954,1.19293,0.90091,0.83069,0.89351,0.61516,1.22598,0.61491,1.0786,0.00010879,0.00010879,0.00010879
28,117.168,1.19282,0.79497,1.17492,0.88523,0.83713,0.89363,0.61377,1.27152,0.62636,1.09849,0.000108397,0.000108397,0.000108397
29,121,1.12834,0.78577,1.21462,0.89319,0.84703,0.89533,0.61462,1.24889,0.63438,1.09262,0.000108004,0.000108004,0.000108004
30,124.844,1.13611,0.79701,1.19748,0.87547,0.85149,0.90213,0.62276,1.23962,0.63535,1.09221,0.000107612,0.000107612,0.000107612
31,128.747,1.15246,0.79169,1.18629,0.89089,0.85412,0.90442,0.62903,1.21979,0.61882,1.08139,0.000107219,0.000107219,0.000107219
32,132.629,1.12747,0.7566,1.19219,0.86369,0.86685,0.90613,0.62606,1.25054,0.61379,1.08677,0.000106826,0.000106826,0.000106826
33,136.46,1.14084,0.76882,1.17455,0.90442,0.83331,0.90972,0.62835,1.24208,0.60833,1.0769,0.000106434,0.000106434,0.000106434
34,140.314,1.14526,0.77964,1.18826,0.90038,0.83601,0.9086,0.63185,1.21697,0.60315,1.06562,0.000106041,0.000106041,0.000106041
35,144.172,1.10912,0.71715,1.16526,0.89711,0.85931,0.91057,0.64047,1.18462,0.59981,1.05663,0.000105648,0.000105648,0.000105648
36,148.005,1.16414,0.78088,1.1749,0.9228,0.8425,0.91204,0.6429,1.17246,0.5926,1.05397,0.000105256,0.000105256,0.000105256
37,151.883,1.14981,0.74979,1.17415,0.91609,0.85356,0.91292,0.63773,1.22262,0.5905,1.07594,0.000104863,0.000104863,0.000104863
38,155.872,1.08681,0.70763,1.12502,0.90255,0.85233,0.91029,0.61368,1.29879,0.60533,1.11016,0.00010447,0.00010447,0.00010447
39,159.712,1.11184,0.75454,1.15229,0.90171,0.84803,0.91184,0.62413,1.26789,0.59914,1.09836,0.000104077,0.000104077,0.000104077
40,163.556,1.08861,0.68886,1.13907,0.91617,0.836,0.91063,0.6435,1.18643,0.59429,1.06235,0.000103685,0.000103685,0.000103685
41,167.41,1.12358,0.74245,1.17517,0.93045,0.82907,0.91668,0.66157,1.11532,0.58569,1.03098,0.000103292,0.000103292,0.000103292
42,171.312,1.10517,0.69465,1.125,0.92025,0.83175,0.91462,0.65264,1.13979,0.58326,1.03638,0.000102899,0.000102899,0.000102899
43,175.174,1.10945,0.72693,1.1332,0.9226,0.83118,0.91748,0.64727,1.1837,0.58369,1.04872,0.000102507,0.000102507,0.000102507
44,179.019,1.09486,0.73173,1.15247,0.93064,0.83368,0.91697,0.65052,1.18513,0.58146,1.05284,0.000102114,0.000102114,0.000102114
45,182.87,1.10595,0.73406,1.16057,0.93499,0.83794,0.92069,0.65536,1.15344,0.57428,1.04522,0.000101721,0.000101721,0.000101721
46,186.743,1.08042,0.72224,1.13601,0.92913,0.84519,0.92443,0.6574,1.15296,0.5732,1.04896,0.000101329,0.000101329,0.000101329
47,190.582,1.09216,0.70414,1.15223,0.90391,0.85927,0.92443,0.66529,1.13078,0.56547,1.03694,0.000100936,0.000100936,0.000100936
48,194.822,1.06815,0.69924,1.16798,0.90484,0.85677,0.92343,0.66535,1.15847,0.57106,1.04082,0.000100543,0.000100543,0.000100543
49,198.665,1.12011,0.75055,1.14917,0.89313,0.86511,0.92497,0.64684,1.19421,0.56796,1.05132,0.00010015,0.00010015,0.00010015
50,202.509,1.07249,0.71803,1.13003,0.90019,0.86689,0.92362,0.65479,1.16053,0.55466,1.03733,9.97577e-05,9.97577e-05,9.97577e-05
51,206.349,1.09727,0.70581,1.14102,0.89269,0.87273,0.92438,0.67351,1.10228,0.54139,1.01888,9.9365e-05,9.9365e-05,9.9365e-05
52,210.208,1.07319,0.68317,1.14392,0.90163,0.86413,0.92727,0.67777,1.08405,0.53961,1.01241,9.89723e-05,9.89723e-05,9.89723e-05
53,214.094,1.06513,0.68955,1.15263,0.90485,0.86438,0.92775,0.65884,1.1444,0.55767,1.03452,9.85796e-05,9.85796e-05,9.85796e-05
54,217.955,1.03519,0.68527,1.12425,0.90637,0.86786,0.93137,0.64764,1.19661,0.56661,1.05751,9.81869e-05,9.81869e-05,9.81869e-05
55,221.806,1.03461,0.68507,1.13165,0.92608,0.85603,0.93377,0.65367,1.18006,0.55872,1.05159,9.77942e-05,9.77942e-05,9.77942e-05
56,225.687,1.04874,0.6947,1.12913,0.91964,0.85738,0.93311,0.66842,1.1454,0.54517,1.03809,9.74015e-05,9.74015e-05,9.74015e-05
57,229.507,1.05671,0.689,1.15355,0.92136,0.85742,0.92856,0.67405,1.12825,0.53568,1.02737,9.70088e-05,9.70088e-05,9.70088e-05
58,233.366,1.01134,0.65797,1.11357,0.93011,0.85794,0.93015,0.67726,1.12681,0.53553,1.02417,9.66161e-05,9.66161e-05,9.66161e-05
59,237.374,1.03432,0.67445,1.11339,0.93901,0.85407,0.93156,0.67761,1.13611,0.54474,1.02767,9.62234e-05,9.62234e-05,9.62234e-05
60,241.26,1.06001,0.68868,1.13261,0.94608,0.85783,0.93213,0.67607,1.13153,0.54813,1.02839,9.58307e-05,9.58307e-05,9.58307e-05
61,245.258,1.03858,0.6751,1.12157,0.94192,0.86154,0.93292,0.67776,1.12071,0.54555,1.03164,9.5438e-05,9.5438e-05,9.5438e-05
62,249.184,1.04747,0.6681,1.12181,0.93858,0.86696,0.93333,0.69294,1.06862,0.52633,1.01541,9.50453e-05,9.50453e-05,9.50453e-05
63,253.081,1.06891,0.69656,1.11845,0.93343,0.86672,0.93274,0.69321,1.05782,0.51618,1.00863,9.46526e-05,9.46526e-05,9.46526e-05
64,256.979,1.03656,0.64873,1.11402,0.91836,0.87227,0.93349,0.69134,1.0677,0.51233,1.00415,9.42599e-05,9.42599e-05,9.42599e-05
65,260.833,1.05126,0.64412,1.11959,0.92379,0.87068,0.9348,0.6869,1.08457,0.51263,1.0067,9.38672e-05,9.38672e-05,9.38672e-05
66,264.711,1.05664,0.68027,1.12977,0.90874,0.8797,0.934,0.6822,1.07734,0.51229,1.0069,9.34745e-05,9.34745e-05,9.34745e-05
67,268.579,1.04462,0.66053,1.11057,0.91658,0.87278,0.93264,0.68613,1.05987,0.51177,1.00448,9.30818e-05,9.30818e-05,9.30818e-05
68,272.443,1.04826,0.66866,1.12849,0.9128,0.87923,0.93311,0.67841,1.09404,0.52098,1.01676,9.26891e-05,9.26891e-05,9.26891e-05
69,276.526,1.01038,0.64439,1.09861,0.92946,0.87267,0.9339,0.66664,1.13962,0.52923,1.03033,9.22964e-05,9.22964e-05,9.22964e-05
70,280.435,1.02476,0.64262,1.12447,0.92955,0.87472,0.93414,0.67062,1.12824,0.52362,1.02682,9.19037e-05,9.19037e-05,9.19037e-05
71,284.346,0.98652,0.60718,1.07383,0.93528,0.87021,0.93678,0.69492,1.03111,0.50461,0.9969,9.1511e-05,9.1511e-05,9.1511e-05
72,288.239,1.0487,0.69031,1.13845,0.94013,0.86802,0.93748,0.71292,0.96481,0.49259,0.97503,9.11183e-05,9.11183e-05,9.11183e-05
73,292.126,1.01907,0.66424,1.10783,0.92646,0.87438,0.93641,0.70776,0.96902,0.4972,0.97492,9.07256e-05,9.07256e-05,9.07256e-05
74,295.961,1.01223,0.63545,1.0974,0.93395,0.87323,0.93721,0.69504,1.02647,0.50792,0.98998,9.03329e-05,9.03329e-05,9.03329e-05
75,299.806,1.02349,0.65617,1.12696,0.92492,0.88841,0.93825,0.69528,1.05008,0.51304,0.99687,8.99402e-05,8.99402e-05,8.99402e-05
76,303.67,0.99652,0.63574,1.082,0.92134,0.89497,0.94009,0.70308,1.03321,0.51023,0.99023,8.95475e-05,8.95475e-05,8.95475e-05
77,307.5,1.01758,0.64936,1.10727,0.92307,0.89021,0.94261,0.71142,1.00704,0.50422,0.98297,8.91548e-05,8.91548e-05,8.91548e-05
78,311.338,1.03459,0.65212,1.11485,0.92388,0.89262,0.94409,0.71267,1.02622,0.49761,0.98998,8.87621e-05,8.87621e-05,8.87621e-05
79,315.204,0.99017,0.60446,1.07143,0.91603,0.89343,0.94432,0.71742,1.01174,0.48995,0.98511,8.83694e-05,8.83694e-05,8.83694e-05
