epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2940.97,1.69269,1.88148,1.81486,0.53186,0.36604,0.36202,0.14907,2.01831,1.78625,1.91207,0.00183764,0.00183764,0.00183764
43,3014.96,1.72799,1.8746,1.85505,0.53507,0.36041,0.36715,0.14266,2.0597,1.80557,1.94359,0.00183368,0.00183368,0.00183368
44,3087.67,1.68969,1.84316,1.81548,0.59763,0.37453,0.37869,0.14507,2.14076,1.84406,1.99359,0.00182972,0.00182972,0.00182972
45,3155.43,1.66438,1.83865,1.81336,0.57266,0.39137,0.40197,0.15788,2.05093,1.79483,1.93092,0.00182576,0.00182576,0.00182576
46,3223.94,1.67192,1.83714,1.81083,0.57938,0.38537,0.38978,0.1555,2.07213,1.79123,1.94743,0.0018218,0.0018218,0.0018218
47,3291.36,1.64895,1.81398,1.78927,0.59061,0.37373,0.39201,0.1625,2.02303,1.76283,1.90744,0.00181784,0.00181784,0.00181784
48,3358.79,1.66501,1.83914,1.8327,0.57181,0.38902,0.3954,0.16154,2.06758,1.76699,1.95807,0.00181388,0.00181388,0.00181388
49,3426.02,1.67981,1.81876,1.80353,0.59429,0.3803,0.39714,0.16616,2.04957,1.76068,1.93571,0.00180992,0.00180992,0.00180992
50,3493.26,1.6952,1.85829,1.82424,0.572,0.35797,0.37186,0.13161,2.11956,1.82456,2.00356,0.00180596,0.00180596,0.00180596
51,3560.75,1.67731,1.79642,1.80937,0.59145,0.39203,0.40361,0.16708,2.0024,1.75129,1.88866,0.001802,0.001802,0.001802
52,3629.93,1.63196,1.79344,1.79639,0.57209,0.4,0.4055,0.16076,2.07241,1.73627,1.9622,0.00179804,0.00179804,0.00179804
53,3697.24,1.63632,1.78684,1.80044,0.58592,0.38228,0.40178,0.15812,2.01775,1.75555,1.91502,0.00179408,0.00179408,0.00179408
54,3764.88,1.67504,1.75454,1.79957,0.57195,0.37817,0.38895,0.15714,2.04007,1.75639,1.91859,0.00179012,0.00179012,0.00179012
55,3833.44,1.6407,1.81082,1.79849,0.61157,0.39887,0.41272,0.17015,1.98022,1.69829,1.88829,0.00178616,0.00178616,0.00178616
56,3901.46,1.65842,1.82556,1.82747,0.59105,0.39793,0.40518,0.15176,2.12999,1.74232,1.97656,0.0017822,0.0017822,0.0017822
57,3969.79,1.65732,1.82397,1.80457,0.59013,0.41013,0.42007,0.17207,1.9553,1.75432,1.87012,0.00177824,0.00177824,0.00177824
58,4037.25,1.65408,1.75813,1.77992,0.55387,0.3898,0.40183,0.16103,2.07662,1.75531,1.92277,0.00177428,0.00177428,0.00177428
59,4104.24,1.6152,1.75567,1.72045,0.57957,0.39081,0.39847,0.16227,2.06958,1.70972,1.91048,0.00177032,0.00177032,0.00177032
60,4171.45,1.61804,1.71078,1.75777,0.60625,0.39981,0.41965,0.17287,1.99688,1.72181,1.90133,0.00176636,0.00176636,0.00176636
61,4239.11,1.60653,1.7266,1.76269,0.61731,0.40122,0.4194,0.18033,1.9642,1.72556,1.89226,0.0017624,0.0017624,0.0017624
62,4306.69,1.62858,1.74479,1.77284,0.58332,0.394,0.40123,0.14652,2.03968,1.71816,1.88569,0.00175844,0.00175844,0.00175844
63,4373.89,1.60865,1.70657,1.75277,0.60481,0.40225,0.41884,0.1673,2.04885,1.71357,1.91541,0.00175448,0.00175448,0.00175448
64,4440.76,1.659,1.71042,1.78007,0.59642,0.40507,0.41207,0.15598,2.10187,1.74815,1.9531,0.00175052,0.00175052,0.00175052
65,4508.03,1.61242,1.73722,1.78468,0.6019,0.39006,0.41139,0.17575,1.96736,1.69025,1.862,0.00174656,0.00174656,0.00174656
66,4575.22,1.60427,1.74993,1.76342,0.63153,0.41435,0.43386,0.18295,1.91104,1.66965,1.81475,0.0017426,0.0017426,0.0017426
67,4642.35,1.57748,1.70641,1.73506,0.59512,0.41126,0.42253,0.17414,2.01923,1.68432,1.889,0.00173864,0.00173864,0.00173864
68,4709.43,1.60347,1.66137,1.75342,0.61695,0.40947,0.42422,0.17156,2.02454,1.63982,1.87842,0.00173468,0.00173468,0.00173468
69,4776.26,1.59823,1.67376,1.75731,0.61498,0.41238,0.41611,0.16949,2.05664,1.668,1.92659,0.00173072,0.00173072,0.00173072
70,4843.74,1.60811,1.65958,1.75281,0.61437,0.40394,0.42552,0.18159,1.96819,1.66967,1.86511,0.00172676,0.00172676,0.00172676
71,4910.82,1.58393,1.67682,1.75396,0.61617,0.40356,0.42666,0.17704,2.01505,1.66604,1.91957,0.0017228,0.0017228,0.0017228
72,4978.18,1.60734,1.72287,1.7646,0.60972,0.41557,0.42789,0.17116,2.0413,1.67372,1.91915,0.00171884,0.00171884,0.00171884
73,5045.36,1.61218,1.71393,1.76967,0.61263,0.41182,0.4321,0.18658,1.95892,1.64107,1.85901,0.00171488,0.00171488,0.00171488
74,5112.47,1.62299,1.65802,1.76246,0.65042,0.42167,0.4463,0.19232,1.94231,1.61376,1.84571,0.00171092,0.00171092,0.00171092
75,5179.83,1.56975,1.66827,1.73721,0.62212,0.41285,0.41762,0.17582,2.02837,1.64506,1.90253,0.00170696,0.00170696,0.00170696
76,5247.13,1.59816,1.66085,1.77074,0.61784,0.41645,0.43195,0.16637,2.07018,1.66087,1.93998,0.001703,0.001703,0.001703
77,5316.74,1.58911,1.67442,1.74079,0.61591,0.42411,0.43593,0.18529,1.90879,1.63134,1.81278,0.00169904,0.00169904,0.00169904
78,5384.68,1.57715,1.66838,1.74936,0.6286,0.42636,0.43371,0.17605,1.97772,1.62394,1.84367,0.00169508,0.00169508,0.00169508
79,5452.41,1.61104,1.64077,1.73768,0.61652,0.40766,0.42666,0.18152,1.99946,1.63468,1.87819,0.00169112,0.00169112,0.00169112
80,5519.71,1.54278,1.59219,1.72878,0.61408,0.43572,0.44315,0.19031,1.92203,1.57582,1.84001,0.00168716,0.00168716,0.00168716
81,5587.88,1.574,1.6163,1.74795,0.64029,0.4242,0.43795,0.18475,1.98644,1.60965,1.86633,0.0016832,0.0016832,0.0016832
82,5655.85,1.57112,1.61572,1.73018,0.6311,0.42711,0.43846,0.18255,1.93854,1.6061,1.8308,0.00167924,0.00167924,0.00167924
83,5723.45,1.55085,1.63978,1.71155,0.60911,0.4166,0.4208,0.17776,1.90823,1.61152,1.82608,0.00167528,0.00167528,0.00167528
84,5790.66,1.54152,1.58356,1.71557,0.639,0.42073,0.4445,0.19893,1.92264,1.55734,1.80638,0.00167132,0.00167132,0.00167132
85,5857.74,1.5648,1.62381,1.73214,0.62964,0.42955,0.44014,0.18538,1.96797,1.59526,1.86459,0.00166736,0.00166736,0.00166736
86,5924.63,1.55695,1.55422,1.71139,0.6428,0.43902,0.45114,0.19455,1.95435,1.54711,1.82336,0.0016634,0.0016634,0.0016634
87,5991.79,1.56806,1.58773,1.71298,0.64019,0.4258,0.43852,0.18937,1.92983,1.59032,1.84356,0.00165944,0.00165944,0.00165944
88,6058.91,1.52852,1.61876,1.70953,0.65232,0.42557,0.44901,0.19654,1.90044,1.5733,1.79269,0.00165548,0.00165548,0.00165548
89,6125.72,1.54028,1.55658,1.71304,0.64043,0.42158,0.44673,0.18973,2.00296,1.60644,1.87161,0.00165152,0.00165152,0.00165152
90,6192.67,1.55141,1.59099,1.73111,0.64632,0.42486,0.45058,0.19075,1.99046,1.60614,1.87661,0.00164756,0.00164756,0.00164756
91,6260.04,1.57942,1.60732,1.71508,0.65883,0.41989,0.44869,0.19504,1.96149,1.57799,1.84582,0.0016436,0.0016436,0.0016436
92,6327.16,1.55184,1.58315,1.70476,0.65748,0.4288,0.45461,0.19477,1.91926,1.55259,1.80428,0.00163964,0.00163964,0.00163964
93,6394.76,1.54808,1.56949,1.71469,0.65551,0.42955,0.44932,0.18619,2.00888,1.60159,1.88162,0.00163568,0.00163568,0.00163568
94,6462.03,1.56105,1.60355,1.70728,0.65452,0.42842,0.45359,0.19639,1.92731,1.53927,1.82453,0.00163172,0.00163172,0.00163172
