epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2779,1.70893,1.89692,1.64568,0.70432,0.70841,0.75749,0.57121,1.00453,0.77654,1.05964,3.87442e-05,3.87442e-05,3.87442e-05
2,16.5721,1.55656,1.60114,1.46921,0.7467,0.65265,0.75982,0.5059,1.31515,0.87933,1.14674,7.81521e-05,7.81521e-05,7.81521e-05
3,21.6469,1.55802,1.57353,1.49063,0.76231,0.67012,0.75143,0.42316,1.63179,1.01142,1.2643,0.000117298,0.000117298,0.000117298
4,26.7528,1.54218,1.49729,1.40773,0.7755,0.67945,0.75382,0.40701,1.72617,1.06095,1.32315,0.000117822,0.000117822,0.000117822
5,31.7971,1.47406,1.48569,1.3964,0.7799,0.69457,0.76801,0.44862,1.59955,1.02992,1.28925,0.000117429,0.000117429,0.000117429
6,38.0454,1.4149,1.38646,1.39312,0.79189,0.65904,0.76556,0.48006,1.46382,0.98262,1.2404,0.000117037,0.000117037,0.000117037
7,44.5423,1.43294,1.34442,1.39946,0.67409,0.72924,0.76809,0.4896,1.40318,0.95945,1.21886,0.000116644,0.000116644,0.000116644
8,49.6516,1.39994,1.31255,1.37137,0.75806,0.69947,0.79009,0.49448,1.42335,0.93613,1.2311,0.000116251,0.000116251,0.000116251
9,54.5703,1.39715,1.29362,1.36738,0.75523,0.70685,0.793,0.48742,1.45456,0.93282,1.24172,0.000115858,0.000115858,0.000115858
10,59.5321,1.39611,1.24925,1.35256,0.78527,0.7521,0.80921,0.49071,1.45764,0.926,1.25848,0.000115466,0.000115466,0.000115466
11,64.4215,1.32437,1.15408,1.32971,0.82095,0.74497,0.81108,0.50777,1.39957,0.91975,1.2155,0.000115073,0.000115073,0.000115073
12,69.3594,1.33088,1.14069,1.33314,0.81403,0.7518,0.82404,0.51529,1.38627,0.89928,1.20212,0.00011468,0.00011468,0.00011468
13,74.3101,1.30944,1.12392,1.30491,0.79724,0.76399,0.82825,0.51955,1.38252,0.85378,1.19968,0.000114288,0.000114288,0.000114288
14,79.3685,1.3103,1.14848,1.3201,0.81879,0.76415,0.83112,0.53145,1.36718,0.83329,1.18528,0.000113895,0.000113895,0.000113895
15,84.3958,1.27592,1.02145,1.29572,0.80911,0.76512,0.83095,0.53571,1.36464,0.83447,1.17659,0.000113502,0.000113502,0.000113502
