epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9129,1.56665,1.79457,1.71692,0.79166,0.68763,0.79662,0.56829,1.07569,0.7403,1.10547,3.90469e-05,3.90469e-05,3.90469e-05
2,32.0546,1.43053,1.38667,1.46454,0.8141,0.68747,0.80305,0.47525,1.58921,0.94743,1.34313,7.84538e-05,7.84538e-05,7.84538e-05
3,42.2443,1.42868,1.40255,1.4605,0.78276,0.68926,0.79409,0.48695,1.51476,0.94815,1.33578,0.000117599,0.000117599,0.000117599
4,55.1219,1.36054,1.3662,1.45861,0.75563,0.72718,0.79755,0.50094,1.45602,0.95203,1.32445,0.000117822,0.000117822,0.000117822
5,68.3998,1.33698,1.29481,1.44355,0.7791,0.71916,0.79928,0.52309,1.38575,0.89018,1.30737,0.000117429,0.000117429,0.000117429
6,79.2163,1.34608,1.21559,1.42783,0.75391,0.75578,0.80602,0.52963,1.36792,0.87725,1.3127,0.000117037,0.000117037,0.000117037
7,90.4956,1.32234,1.26573,1.44163,0.82912,0.68457,0.80816,0.53818,1.30582,0.92878,1.2881,0.000116644,0.000116644,0.000116644
8,101.418,1.3755,1.28301,1.47517,0.78881,0.72987,0.81345,0.54223,1.28961,0.86376,1.27996,0.000116251,0.000116251,0.000116251
9,113.039,1.38224,1.29114,1.47658,0.81187,0.73401,0.81722,0.53423,1.32718,0.85937,1.3014,0.000115858,0.000115858,0.000115858
10,124.139,1.34029,1.28272,1.46561,0.80719,0.74151,0.81838,0.52676,1.36033,0.8844,1.33527,0.000115466,0.000115466,0.000115466
11,135.076,1.34111,1.21063,1.42444,0.82233,0.77323,0.84618,0.53933,1.39344,0.89741,1.33359,0.000115073,0.000115073,0.000115073
12,145.691,1.34557,1.1667,1.42344,0.84014,0.77236,0.85485,0.5431,1.43197,0.87968,1.34445,0.00011468,0.00011468,0.00011468
