epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2911.15,1.35405,1.24278,1.54764,0.68653,0.4575,0.48994,0.2302,1.86745,1.37125,1.79295,0.00183764,0.00183764,0.00183764
43,2977.78,1.36184,1.2615,1.5661,0.67545,0.44906,0.48262,0.22726,1.83822,1.37199,1.76464,0.00183368,0.00183368,0.00183368
44,3043.8,1.35656,1.238,1.55302,0.68207,0.46046,0.49731,0.23011,1.86626,1.39583,1.80149,0.00182972,0.00182972,0.00182972
45,3110.54,1.34716,1.25836,1.56702,0.71125,0.46305,0.50938,0.24353,1.82679,1.36033,1.76515,0.00182576,0.00182576,0.00182576
46,3177.57,1.32554,1.23296,1.53952,0.72352,0.46153,0.50733,0.24407,1.78635,1.35034,1.73804,0.0018218,0.0018218,0.0018218
47,3244.69,1.29089,1.18676,1.5096,0.70089,0.44803,0.49938,0.24403,1.77936,1.4144,1.74574,0.00181784,0.00181784,0.00181784
48,3311.25,1.34541,1.25039,1.56508,0.70743,0.45048,0.50283,0.23645,1.84057,1.37882,1.77253,0.00181388,0.00181388,0.00181388
49,3377.88,1.33753,1.23858,1.53024,0.72484,0.45172,0.50333,0.24333,1.80236,1.38705,1.73825,0.00180992,0.00180992,0.00180992
50,3444.53,1.36836,1.29172,1.56515,0.69961,0.44919,0.50058,0.23137,1.85713,1.41271,1.78568,0.00180596,0.00180596,0.00180596
51,3510.93,1.35083,1.23369,1.55197,0.69833,0.4561,0.49846,0.24034,1.81612,1.36356,1.75031,0.001802,0.001802,0.001802
52,3577.6,1.33663,1.24518,1.56401,0.68133,0.4546,0.489,0.23178,1.82471,1.4031,1.76915,0.00179804,0.00179804,0.00179804
53,3643.98,1.31672,1.23285,1.5467,0.70583,0.45788,0.5039,0.24032,1.78564,1.36529,1.75972,0.00179408,0.00179408,0.00179408
54,3724.75,1.31961,1.20137,1.53196,0.68006,0.43827,0.47768,0.22752,1.8329,1.43249,1.77446,0.00179012,0.00179012,0.00179012
55,3799.59,1.32104,1.22888,1.55059,0.69775,0.44278,0.49222,0.23818,1.77195,1.36435,1.73403,0.00178616,0.00178616,0.00178616
56,3866.85,1.32726,1.23838,1.57939,0.67503,0.44465,0.48526,0.23311,1.81809,1.40004,1.76247,0.0017822,0.0017822,0.0017822
57,3933.58,1.36071,1.271,1.56841,0.66546,0.46182,0.49772,0.23652,1.77266,1.36399,1.74502,0.00177824,0.00177824,0.00177824
58,4006.72,1.33998,1.22327,1.54622,0.70195,0.4546,0.50365,0.23973,1.81297,1.37682,1.77197,0.00177428,0.00177428,0.00177428
59,4078.05,1.31268,1.2112,1.51683,0.68883,0.45947,0.50279,0.24493,1.76532,1.3642,1.73594,0.00177032,0.00177032,0.00177032
60,4146.06,1.34964,1.18622,1.55477,0.67148,0.46555,0.50184,0.24236,1.75183,1.36604,1.72583,0.00176636,0.00176636,0.00176636
61,4213.73,1.3201,1.23958,1.54588,0.69484,0.46482,0.49893,0.24015,1.80372,1.36745,1.75186,0.0017624,0.0017624,0.0017624
62,4281.05,1.33193,1.20162,1.54164,0.69,0.46529,0.50442,0.23911,1.80906,1.36792,1.75146,0.00175844,0.00175844,0.00175844
63,4348.48,1.28724,1.1772,1.51823,0.67711,0.45038,0.47681,0.23003,1.8059,1.41743,1.77307,0.00175448,0.00175448,0.00175448
64,4416.74,1.33938,1.17454,1.53315,0.70291,0.46632,0.51029,0.23958,1.85524,1.34271,1.78275,0.00175052,0.00175052,0.00175052
65,4484.07,1.30552,1.19604,1.54381,0.70931,0.45947,0.50426,0.24079,1.80733,1.41238,1.79929,0.00174656,0.00174656,0.00174656
66,4551.2,1.30605,1.20576,1.52999,0.68909,0.46126,0.49342,0.24118,1.7699,1.39176,1.74196,0.0017426,0.0017426,0.0017426
67,4618.14,1.28997,1.18279,1.51833,0.69372,0.46295,0.50522,0.24421,1.80848,1.33877,1.73376,0.00173864,0.00173864,0.00173864
68,4684.93,1.32292,1.16698,1.52584,0.68677,0.45722,0.49271,0.23544,1.82386,1.34823,1.75959,0.00173468,0.00173468,0.00173468
69,4751.54,1.29663,1.17519,1.52995,0.67699,0.45356,0.49321,0.23319,1.81605,1.34995,1.74125,0.00173072,0.00173072,0.00173072
70,4818.05,1.33289,1.18169,1.52903,0.69911,0.44906,0.50171,0.24312,1.81189,1.38324,1.75125,0.00172676,0.00172676,0.00172676
71,4884.63,1.31445,1.19173,1.53685,0.68727,0.46818,0.50753,0.24989,1.75148,1.31536,1.73832,0.0017228,0.0017228,0.0017228
72,4951.45,1.30886,1.17755,1.53063,0.68569,0.45422,0.49898,0.24322,1.7841,1.34425,1.72669,0.00171884,0.00171884,0.00171884
